Racha_Local,Racha_Visita,Dif_Goles_Local,Dif_Goles_Visita,xG_Favor_Local,xG_Contra_Local,xG_Favor_Visita,xG_Contra_Visita,Pts_Totales_Local,Pts_Totales_Visita,FTR,B365H,B365D,B365A
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,1.48,4.0,8.0
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,2.35,3.4,3.0
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,2.0,3.2,4.1
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,2.8,3.25,2.63
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,1.6,4.2,5.25
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,2.5,3.2,3.0
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,1.62,3.8,5.75
0,0,0,0,1.2,1.2,1.2,1.2,0,0,A,2.45,3.6,2.75
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,2.45,3.5,2.8
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,1.36,5.25,8.0
0,0,0,0,1.2,1.2,1.2,1.2,0,0,A,2.63,3.3,2.63
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,1.18,7.5,13.0
0,0,0,0,1.2,1.2,1.2,1.2,0,0,A,8.5,5.5,1.33
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,3.5,3.2,2.2
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,6.5,4.0,1.53
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,1.85,3.3,4.5
0,0,0,0,1.2,1.2,1.2,1.2,0,0,A,4.75,3.8,1.73
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,1.48,4.1,7.5
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,4.1,3.4,1.95
0,0,0,0,1.2,1.2,1.2,1.2,0,0,A,4.1,3.9,1.8
0,0,0,0,1.2,1.2,1.2,1.2,0,0,A,1.57,3.75,7.0
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,8.0,4.2,1.45
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,2.4,3.4,2.9
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,4.75,3.6,1.75
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,1.91,3.4,4.33
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,3.3,3.7,2.1
0,0,0,0,1.2,1.2,1.2,1.2,0,0,D,5.0,4.33,1.62
0,0,0,0,1.2,1.2,1.2,1.2,0,0,A,4.2,3.7,1.85
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,1.33,5.0,9.5
0,0,0,0,1.2,1.2,1.2,1.2,0,0,H,2.38,3.0,3.4
3,0,1,-1,0.5,0.3666666666666667,0.20000000000000004,1.0999999999999999,3,0,H,2.1,3.4,3.6
1,1,0,0,0.7666666666666666,0.7166666666666667,0.4333333333333333,0.6666666666666666,1,1,A,2.4,3.6,2.8
1,3,0,2,0.26666666666666666,1.0666666666666667,0.8166666666666665,0.48333333333333334,1,3,H,3.3,3.1,2.35
1,1,0,0,0.7166666666666667,0.9333333333333335,0.9333333333333332,0.39999999999999997,1,1,H,4.75,3.9,1.7
1,0,0,-4,1.1333333333333333,0.7666666666666666,0.8166666666666668,0.7666666666666666,1,0,H,1.2,7.0,13.0
1,3,0,1,0.35000000000000003,0.5166666666666667,0.7000000000000001,0.6833333333333332,1,3,D,2.45,3.0,3.2
3,3,1,2,0.5499999999999999,0.5333333333333333,0.8999999999999999,0.44999999999999996,3,3,A,4.33,3.8,1.75
1,0,0,-3,0.9500000000000001,0.4166666666666667,0.25,0.6666666666666666,1,0,H,1.44,4.75,6.5
0,1,-1,0,0.7166666666666667,0.15,1.0333333333333334,0.6166666666666667,0,1,A,2.55,3.3,2.8
0,1,-1,0,0.3666666666666667,0.7333333333333334,0.4166666666666667,0.9500000000000001,0,1,H,1.8,3.75,4.2
0,0,-1,-1,0.8333333333333334,0.65,0.5333333333333333,0.5499999999999999,0,0,A,2.15,3.6,3.2
3,3,3,1,0.6666666666666666,0.25,0.7333333333333334,0.3666666666666667,3,3,H,2.5,3.7,2.63
1,1,0,0,0.7666666666666666,0.5666666666666667,0.7000000000000001,0.6166666666666667,1,1,H,2.45,3.1,3.1
0,0,-1,-1,0.3666666666666667,0.5,0.6833333333333332,0.7000000000000001,0,0,A,3.9,3.2,2.05
1,1,0,0,0.16666666666666666,0.25,0.7666666666666666,1.1333333333333333,1,1,A,2.6,3.1,2.88
3,0,2,-2,0.6833333333333332,0.4666666666666666,0.31666666666666665,0.7999999999999999,3,0,H,1.08,12.0,21.0
3,1,1,0,1.0999999999999999,0.20000000000000004,0.5166666666666667,0.35000000000000003,3,1,H,1.62,4.2,5.0
1,3,0,1,0.6166666666666667,0.7000000000000001,0.5,0.3666666666666667,1,3,H,1.18,7.5,15.0
1,3,0,1,0.6166666666666667,1.0333333333333334,0.15,0.7166666666666667,1,3,D,2.9,3.8,2.2
0,0,-2,-2,0.44999999999999996,0.8999999999999999,0.4666666666666666,0.6833333333333332,0,0,A,4.33,4.0,1.75
3,3,2,1,0.7999999999999999,0.31666666666666665,0.65,0.8333333333333334,3,3,H,1.27,5.75,11.0
1,3,0,4,0.39999999999999997,0.9333333333333332,0.7666666666666666,0.8166666666666668,1,3,H,3.2,3.1,2.38
1,0,0,-2,0.9333333333333335,0.7166666666666667,0.48333333333333334,0.8166666666666665,1,0,D,1.42,4.75,7.0
0,1,-1,0,0.3666666666666667,0.5,0.7166666666666667,0.4166666666666667,0,1,D,2.38,3.1,3.25
1,1,0,0,0.5666666666666667,0.7666666666666666,0.7166666666666667,0.7666666666666666,1,1,H,2.25,3.0,3.6
1,1,0,0,0.5166666666666666,0.4000000000000001,0.25,0.16666666666666666,1,1,A,1.5,4.33,6.5
0,1,-3,0,0.75,0.6333333333333333,1.0666666666666667,0.26666666666666666,0,1,H,1.9,3.5,4.1
1,1,0,0,0.6666666666666666,0.4333333333333333,0.4166666666666667,0.7166666666666667,1,1,H,1.6,4.1,5.5
3,3,3,3,0.6333333333333333,0.75,1.0999999999999999,0.11666666666666665,3,3,A,5.25,3.75,1.67
1,0,0,-3,0.4000000000000001,0.5166666666666666,0.11666666666666665,1.0999999999999999,1,0,D,2.1,3.4,3.4
4,6,1,3,1.0333333333333332,1.8166666666666664,1.1166666666666667,1.0833333333333333,4,6,H,1.91,3.4,3.8
1,1,-1,-1,1.0833333333333333,1.3666666666666665,1.9166666666666667,1.3166666666666667,1,1,D,2.38,3.1,3.25
4,6,1,2,0.8500000000000001,0.8833333333333333,1.8166666666666664,0.55,4,6,A,5.25,3.8,1.62
4,0,3,-2,1.45,1.15,0.8833333333333333,1.0333333333333334,4,0,D,1.3,5.25,11.0
3,4,-2,1,0.8333333333333334,1.55,1.2333333333333334,1.4333333333333333,3,4,D,2.3,3.0,3.6
1,0,-1,-3,0.8666666666666667,1.0666666666666667,0.9166666666666666,1.7166666666666668,1,0,H,1.62,3.9,5.75
3,1,0,-1,1.2166666666666666,1.2166666666666666,0.5166666666666667,1.0166666666666666,3,1,A,1.7,3.5,5.75
1,4,-3,1,1.1333333333333333,1.5,1.5166666666666666,0.9499999999999998,1,4,H,1.7,4.0,4.33
1,4,-1,3,1.3833333333333335,1.4333333333333333,1.8,1.0333333333333334,1,4,D,8.0,5.0,1.38
1,4,-2,1,1.0,1.8166666666666664,1.2166666666666666,2.1333333333333333,1,4,A,3.4,3.3,2.2
4,3,2,3,1.6166666666666665,1.3333333333333333,1.9666666666666668,1.6333333333333335,4,3,H,1.57,4.33,5.5
4,5,0,3,1.4833333333333334,1.0999999999999999,2.5500000000000003,1.383333333333333,4,5,A,3.0,3.3,2.38
9,4,3,-2,2.6833333333333336,1.0833333333333333,1.2333333333333334,1.7833333333333332,9,4,H,1.25,6.25,10.0
1,4,-2,0,1.1166666666666665,2.1333333333333333,1.3833333333333335,1.75,1,4,H,2.8,3.0,2.8
1,4,-3,1,1.4166666666666667,1.0333333333333332,0.7166666666666667,1.05,1,4,D,1.62,3.75,6.0
0,7,-4,2,0.9500000000000001,2.3333333333333335,2.3,2.9166666666666665,0,7,D,2.8,3.4,2.45
3,0,-1,-2,0.9833333333333334,1.95,0.9,1.3333333333333333,3,0,H,1.75,3.9,4.33
0,2,-7,0,0.5166666666666667,1.5833333333333333,1.2833333333333334,1.7666666666666668,0,2,A,2.75,3.4,2.55
0,3,-5,0,0.4333333333333333,1.5333333333333332,1.2666666666666666,1.3,0,3,D,3.0,3.5,2.3
1,3,-1,-1,0.9833333333333334,1.8499999999999999,1.0333333333333332,1.0833333333333333,1,3,A,4.5,4.0,1.7
4,0,1,-6,2.216666666666667,0.8000000000000002,1.05,1.9333333333333333,4,0,D,2.0,3.7,3.7
3,6,1,5,1.1333333333333333,0.9833333333333334,1.4166666666666667,0.5833333333333334,3,6,A,7.0,5.5,1.38
0,2,-6,0,1.3833333333333335,1.25,1.0833333333333333,1.1333333333333333,0,2,H,2.25,3.2,3.4
3,1,1,-1,1.5999999999999999,0.9166666666666666,1.7166666666666668,1.0333333333333332,3,1,D,2.9,3.4,2.4
3,4,0,1,1.5166666666666666,0.9833333333333334,1.3499999999999999,1.7166666666666668,3,4,H,1.48,4.33,7.0
5,2,1,-1,1.4666666666666668,1.8333333333333333,1.6833333333333333,2.3333333333333335,5,2,A,2.5,3.0,3.2
6,6,4,4,1.45,0.9333333333333332,1.4000000000000001,0.8333333333333334,6,6,D,1.33,5.5,8.5
2,1,0,-1,1.9333333333333336,1.2333333333333334,0.5166666666666667,0.5333333333333333,2,1,D,1.67,3.9,5.0
4,3,1,0,1.05,1.4833333333333334,0.85,1.3666666666666665,4,3,A,2.0,3.3,4.0
6,1,6,-1,1.7166666666666668,0.3333333333333333,1.3999999999999997,0.8666666666666667,6,1,D,1.75,3.6,5.0
4,1,1,-3,0.6999999999999998,1.8500000000000003,0.7333333333333334,1.7833333333333332,4,1,H,2.05,3.4,3.75
5,2,3,0,3.016666666666667,1.45,1.2333333333333332,0.5666666666666667,5,2,H,1.29,5.75,9.5
4,4,1,4,0.8833333333333334,1.3833333333333335,1.8666666666666665,0.6833333333333332,4,4,H,2.5,4.0,2.5
2,3,0,-1,0.55,0.6666666666666666,1.45,1.9166666666666667,2,3,D,3.5,2.9,2.38
2,4,-1,1,2.8833333333333333,1.9166666666666667,1.8,1.5166666666666666,2,4,A,2.35,3.8,2.75
4,6,-3,2,1.5333333333333332,1.6166666666666665,2.216666666666667,2.35,4,6,H,2.45,3.25,3.0
4,2,0,-1,1.2166666666666668,1.25,1.8,2.65,4,2,H,1.95,3.4,4.0
3,0,2,-3,1.5,1.2833333333333332,1.2666666666666666,1.25,3,0,D,1.6,4.33,5.0
3,6,0,4,1.3166666666666667,1.1,1.9166666666666667,0.65,3,6,A,3.7,4.2,1.85
2,4,-2,0,1.6333333333333335,1.7,1.1666666666666667,1.5666666666666667,2,5,H,1.62,3.7,6.25
2,1,-1,-3,2.283333333333333,1.6500000000000001,1.6166666666666665,2.6166666666666667,2,1,H,1.3,5.75,9.0
5,4,1,2,2.266666666666667,2.8666666666666667,2.4166666666666665,1.7333333333333332,5,4,A,3.4,3.8,2.0
6,0,0,-8,1.7,1.5333333333333332,1.6166666666666665,2.566666666666667,6,0,H,1.5,4.2,6.5
9,6,7,1,2.6,0.9500000000000001,2.0166666666666666,2.85,9,6,H,1.18,8.0,12.0
9,5,7,1,2.4,1.0833333333333333,2.983333333333333,1.2833333333333334,9,5,A,1.22,6.5,12.0
4,3,0,-1,1.8166666666666664,1.8833333333333335,1.5,2.1666666666666665,4,3,D,2.38,3.25,3.0
4,7,0,5,0.7833333333333333,1.5833333333333333,3.533333333333333,1.1500000000000001,4,8,A,4.75,3.9,1.67
1,1,-3,-2,1.7166666666666668,2.1666666666666665,1.4333333333333333,2.5166666666666666,1,1,D,1.62,4.0,5.5
