HomeTeam,AwayTeam,Racha_Local,Racha_Visita,Dif_Goles_Local,Dif_Goles_Visita,xG_Favor_Local,xG_Contra_Local,xG_Favor_Visita,xG_Contra_Visita,Pts_Totales_Local,Pts_Totales_Visita,B365H,B365D,B365A
Heidenheim,Hoffenheim,4,3,0,0,1.383333333333333,2.8333333333333335,1.55,1.5,42,223,5.0,4.5,1.57
RB Leipzig,Augsburg,4,7,0,5,2.4,1.5166666666666666,3.466666666666667,1.4333333333333336,320,183,1.42,5.0,6.5
Union Berlin,Werder Bremen,6,4,0,-1,2.4,2.1,1.05,1.7833333333333334,245,140,2.25,3.4,3.25
Nantes,Angers,1,3,-5,-1,1.0,2.216666666666667,1.2166666666666666,1.7,201,142,2.2,3.0,3.6
Auxerre,Strasbourg,3,7,-1,6,1.5833333333333333,2.15,2.066666666666667,0.7833333333333333,35,222,3.6,3.3,2.1
Brest,Le Havre,3,2,-1,-2,1.2833333333333332,2.65,1.5666666666666667,2.0,228,32,1.91,3.5,4.1
Troyes,Clermont,4,0,1,-5,2.9,3.233333333333333,1.1,2.283333333333333,62,120,1.62,3.5,5.0
Atalanta,Udinese,6,6,0,0,2.1833333333333336,1.6666666666666667,1.5833333333333333,1.9000000000000001,348,215,1.67,3.7,5.5
Lecce,Cremonese,4,2,0,-2,1.7,2.5166666666666666,1.7,2.35,109,27,2.1,3.0,4.0
Bologna,Verona,6,1,-1,-4,2.766666666666667,1.9000000000000001,1.1666666666666667,2.35,256,214,1.55,3.9,6.5
Fiorentina,Parma,6,4,4,-1,3.033333333333333,1.0666666666666667,0.9499999999999998,2.6666666666666665,267,69,1.7,3.6,5.25
Lazio,Sassuolo,7,1,3,-2,2.35,1.6500000000000001,2.283333333333333,2.1166666666666667,358,238,2.15,3.25,3.5
Spezia,Monza,0,0,-6,-5,0.85,2.6999999999999997,1.1166666666666665,2.4499999999999997,106,97,3.75,3.25,2.01
Frosinone,Sampdoria,1,2,-3,-2,1.7,2.1666666666666665,1.3666666666666665,2.783333333333333,35,149,1.79,3.5,4.2
Levante,Girona,7,4,3,-2,2.183333333333333,1.6333333333333335,1.5,2.3666666666666667,125,130,2.8,3.4,2.45
Villarreal,Elche,3,1,-1,-2,2.4833333333333334,2.75,1.7166666666666668,2.0500000000000003,294,103,1.5,4.5,6.0
Leganes,Eibar,0,6,-9,0,1.8499999999999999,3.033333333333333,2.5666666666666664,1.4166666666666667,36,72,2.32,3.0,3.2
