Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
2024-08-15,Ath Bilbao,Getafe,1,1,D,1.48,4.0,8.0
2024-08-15,Betis,Girona,1,1,D,2.35,3.4,3.0
2024-08-16,Celta,Alaves,2,1,H,2.0,3.2,4.1
2024-08-16,Las Palmas,Sevilla,2,2,D,2.8,3.25,2.63
2024-08-17,Osasuna,Leganes,1,1,D,1.85,3.3,4.5
2024-08-17,Valencia,Barcelona,1,2,A,4.75,3.8,1.73
2024-08-18,Sociedad,Vallecano,1,2,A,1.57,3.75,7.0
2024-08-18,Mallorca,Real Madrid,1,1,D,8.0,4.2,1.45
2024-08-19,Villarreal,Ath Madrid,2,2,D,3.3,3.7,2.1
2024-08-19,Valladolid,Espanol,1,0,H,2.38,3.0,3.4
2024-08-23,Celta,Valencia,3,1,H,2.1,3.4,3.6
2024-08-23,Sevilla,Villarreal,1,2,A,2.4,3.6,2.8
2024-08-24,Osasuna,Mallorca,1,0,H,2.45,3.1,3.1
2024-08-24,Barcelona,Ath Bilbao,2,1,H,1.62,4.2,5.0
2024-08-24,Espanol,Sociedad,0,1,A,3.9,3.2,2.05
2024-08-24,Getafe,Vallecano,0,0,D,2.45,3.0,3.2
2024-08-25,Ath Madrid,Girona,3,0,H,1.6,4.1,5.5
2024-08-25,Alaves,Betis,0,0,D,2.38,3.1,3.25
2024-08-25,Leganes,Las Palmas,2,1,H,2.25,3.0,3.6
2024-08-25,Real Madrid,Valladolid,3,0,H,1.18,7.5,15.0
2024-08-26,Villarreal,Celta,4,3,H,1.91,3.4,3.8
2024-08-27,Mallorca,Sevilla,0,0,D,2.38,3.1,3.25
2024-08-27,Vallecano,Barcelona,1,2,A,5.25,3.8,1.62
2024-08-28,Ath Bilbao,Valencia,1,0,H,1.62,3.9,5.75
2024-08-28,Valladolid,Leganes,0,0,D,2.3,3.0,3.6
2024-08-28,Ath Madrid,Espanol,0,0,D,1.3,5.25,11.0
2024-08-28,Sociedad,Alaves,1,2,A,1.7,3.5,5.75
2024-08-29,Las Palmas,Real Madrid,1,1,D,8.0,5.0,1.38
2024-08-29,Girona,Osasuna,4,0,H,1.7,4.0,4.33
2024-08-31,Barcelona,Valladolid,7,0,H,1.25,6.25,10.0
2024-08-31,Ath Bilbao,Ath Madrid,0,1,A,3.0,3.3,2.38
2024-08-31,Espanol,Vallecano,2,1,H,2.8,3.0,2.8
2024-08-31,Leganes,Mallorca,0,1,A,2.5,3.0,3.2
2024-08-31,Valencia,Villarreal,1,1,D,2.8,3.4,2.45
2024-09-01,Real Madrid,Betis,2,0,H,1.29,5.75,9.5
2024-09-01,Sevilla,Girona,0,2,A,2.35,3.8,2.75
2024-09-01,Getafe,Sociedad,0,0,D,3.5,2.9,2.38
2024-09-01,Alaves,Las Palmas,2,0,H,1.95,3.4,4.0
2024-09-01,Osasuna,Celta,3,2,H,2.45,3.25,3.0
2024-09-13,Betis,Leganes,2,0,H,1.62,3.7,6.25
2024-09-14,Mallorca,Villarreal,1,2,A,2.45,3.4,2.88
2024-09-14,Espanol,Alaves,3,2,H,2.63,3.2,2.8
2024-09-14,Sevilla,Getafe,1,0,H,2.2,3.0,3.7
2024-09-14,Sociedad,Real Madrid,0,2,A,4.75,3.9,1.67
2024-09-15,Girona,Barcelona,1,4,A,4.2,3.8,1.8
2024-09-15,Celta,Valladolid,3,1,H,1.67,3.75,5.5
2024-09-15,Las Palmas,Ath Bilbao,2,3,A,3.8,3.4,2.0
2024-09-15,Ath Madrid,Valencia,3,0,H,1.33,4.5,11.0
2024-09-16,Vallecano,Osasuna,3,1,H,2.05,3.1,4.0
2024-09-17,Mallorca,Sociedad,1,0,H,2.9,2.75,3.0
2024-09-18,Betis,Getafe,2,1,H,1.91,3.0,5.0
2024-09-19,Leganes,Ath Bilbao,0,2,A,3.75,3.2,2.05
2024-09-20,Alaves,Sevilla,2,1,H,2.15,3.1,3.7
2024-09-21,Real Madrid,Espanol,4,1,H,1.17,7.0,19.0
2024-09-21,Valencia,Girona,2,0,H,2.88,3.3,2.5
2024-09-21,Osasuna,Las Palmas,2,1,H,1.9,3.4,4.2
